Subcommand,Method,Endpoint,Expected_Endpoint,Violation
account,createAccount,/v2/clusters,/v2/account,True
account,deleteAccount,/v2/clusters,/v2/account,True
account,grantPrivileges,/v2/clusters,/v2/account,True
account,revokePrivileges,/v2/clusters,/v2/account,True
alarm,getAlarmStatistics,/v2/alarm,/v2/alarm,False
alarm,getAlarms,/v2/alarm,/v2/alarm,False
alarm,ignoreAlarm,/v2/alarm,/v2/alarm,False
backup,createBackup,/v2/jobs,/v2/backup,True
backup,createBackupSchedule,/v2/backup,/v2/backup,False
backup,createSnapshotRepository,/v2/backup,/v2/backup,False
backup,deleteAllBackups,/v2/jobs,/v2/backup,True
backup,deleteBackupRecord,/v2/backup,/v2/backup,False
backup,deleteBackupSchedule,/v2/jobs,/v2/backup,True
backup,deleteOldBackups,/v2/jobs,/v2/backup,True
backup,restoreBackup,/v2/jobs,/v2/backup,True
backup,restoreCluster,/v2/jobs,/v2/backup,True
backup,restoreController,/v2/jobs,/v2/backup,True
backup,saveCluster,/v2/jobs,/v2/backup,True
backup,saveController,/v2/jobs,/v2/backup,True
backup,verifyBackup,/v2/jobs,/v2/backup,True
cluster,addPublication,/v2/logical_replication,/v2/cluster,True
cluster,addSubscription,/v2/logical_replication,/v2/cluster,True
cluster,availableUpgrades,/v2/clusters,/v2/cluster,False
cluster,checkHosts,/v2/discovery,/v2/cluster,True
cluster,checkPkgUpgrades,/v2/jobs,/v2/cluster,True
cluster,collectLogs,/v2/jobs,/v2/cluster,True
cluster,createAccount,/v2/clusters,/v2/cluster,False
cluster,createDatabase,/v2/clusters,/v2/cluster,False
cluster,createDeleteDatabaseJob,/v2/jobs,/v2/cluster,True
cluster,createReport,/v2/jobs,/v2/cluster,True
cluster,deleteAccount,/v2/clusters,/v2/cluster,False
cluster,demoteNode,/v2/jobs,/v2/cluster,True
cluster,deployAgents,/v2/jobs,/v2/cluster,True
cluster,deployCmonAgents,/v2/jobs,/v2/cluster,True
cluster,disableRecoveryWithJob,/v2/jobs,/v2/cluster,True
cluster,disableSsl,/v2/jobs,/v2/cluster,True
cluster,dropCluster,/v2/jobs,/v2/cluster,True
cluster,dropPublication,/v2/logical_replication,/v2/cluster,True
cluster,dropSubscription,/v2/logical_replication,/v2/cluster,True
cluster,enableRecoveryWithJob,/v2/jobs,/v2/cluster,True
cluster,enableSsl,/v2/jobs,/v2/cluster,True
cluster,getClusterConfig,/v2/clusters,/v2/cluster,False
cluster,getDatabases,/v2/clusters,/v2/cluster,False
cluster,grantPrivileges,/v2/clusters,/v2/cluster,False
cluster,importConfig,/v2/jobs,/v2/cluster,True
cluster,listPublications,/v2/logical_replication,/v2/cluster,True
